title,artist,dance_style,tempo_display,meter,tempo_bpm,duration_sec,remarks
Diamond Of Night,Waltz,29BPM,3:00,,,,,
Anticipation,Waltz,29BPM,3:11,,,,,
Once You Had Gold,Waltz,28BPM,3:15,,,,,
Lola,Tango,32BPM,2:56,,,,,
‘Game Of Thrones’ Theme,Tango,32BPM,2:21,,,,,
Enjoy The Silence,Tango,32BPM,2:35,,,,,
Midnight Waltz,Viennese Waltz,58BPM,2:59,,,,,
My Mother’s Eyes,Slowfox,28BPM,2:26,,,,,S
Back Where I Belong,Slowfox,28BPM,2:45,,,,,
Close To You,Slowfox,29BPM,2:56,,,,,
Jumpin’ Jack,Quickstep,50BPM,2:16,,,,,
"Sing, Sing, Sing",Quickstep,50BPM,2:14,,,,,
Duele El Corazón,Samba,50BPM,3:07,,,,,
Ego,Samba,50BPM,2:15,,,,,
Claro De Luna,Samba,50BPM,2:57,,,,,
Loca Cha Cha,Cha Cha Cha,31BPM,2:45,,,,,
Sway,Cha Cha Cha,31BPM,2:12,,,,,
A Night Like This,Cha Cha Cha,31BPM,2:44,,,,,
Wonderful Tonight,Rumba,25BPM,3:18,,,,,
Song From A Secret Garden,Rumba,25BPM,2:54,,,,,
Don’t Be So Shy,Rumba,25BPM,3:07,,,,,
España Cañí,Paso Doble,60BPM,2:05,,,,,
Wait And See,Jive,43BPM,2:30,,,,,

The Boy Does Nothing,Jive,44BPM,1:53,,,,,

